ID,GioiTinh,NamHoc,Nganh,ThoiGian,ChiPhi,CSVC1,CSVC2,CSVC3,CSVC4,CSVC5,AN1,AN2,AN3,AN4,HT1,HT2,HT3,HT4,NV1,NV2,NV3,NV4,CLDV1,CLDV2,CLDV3,CLDV4,HL1,HL2,HL3,HL4
SV019,1,1,2,2,1,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,,3.0,3.0,2.0,3.0,4.0,3.0,4.0,,4.0,3.0,4.0,4.0
SV020,2,2,3,2,2,2.0,2.0,4.0,5.0,,5.0,4.0,3.0,3.0,,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0
SV021,1,1,2,2,1,4.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,,4.0,4.0,4.0,3.0,5.0,4.0,5.0,,2.0,3.0,2.0,2.0
SV022,2,2,3,3,2,2.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,,4.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0
SV023,2,4,5,3,3,3.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,5.0,5.0,4.0,,4.0,3.0,3.0
SV024,2,2,3,1,1,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,,5.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0
SV025,2,4,1,1,3,3.0,4.0,3.0,2.0,3.0,5.0,4.0,,5.0,,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,,,3.0,3.0
SV026,2,1,2,2,3,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0
SV027,2,2,4,2,3,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,5.0,5.0,,2.0,,,2.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0
SV028,2,4,3,2,1,5.0,4.0,3.0,4.0,4.0,,4.0,4.0,2.0,5.0,5.0,3.0,4.0,,4.0,4.0,3.0,4.0,4.0,,,4.0,4.0,4.0,3.0
SV029,2,2,3,1,2,,4.0,,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,2.0,,3.0,4.0
SV030,2,1,3,2,1,,4.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,
SV031,2,4,2,2,1,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,3.0,4.0,4.0,4.0,,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,5.0
SV032,2,2,3,2,3,4.0,3.0,2.0,3.0,2.0,3.0,,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,,4.0,4.0,3.0,3.0,3.0,3.0,1.0
SV033,1,2,4,2,2,4.0,3.0,4.0,,3.0,,4.0,4.0,4.0,2.0,2.0,4.0,4.0,,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0
SV034,2,4,5,2,2,3.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0
SV035,2,1,4,2,1,4.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,1.0,3.0,4.0,4.0,1.0,,3.0,5.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0
SV036,2,2,5,3,2,4.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,,5.0,4.0,4.0,5.0,4.0,3.0,4.0,
SV037,2,1,5,2,2,3.0,2.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0
SV038,2,2,1,2,1,4.0,3.0,3.0,3.0,2.0,4.0,,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,,4.0,3.0,2.0,,1.0
SV039,2,1,2,2,3,3.0,2.0,,3.0,2.0,4.0,,4.0,3.0,3.0,1.0,2.0,1.0,3.0,,3.0,4.0,3.0,4.0,5.0,,3.0,4.0,3.0,2.0
SV040,2,3,2,1,1,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0
SV041,1,1,1,1,1,4.0,3.0,4.0,,3.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0
SV042,1,3,1,2,2,3.0,3.0,,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,2.0,2.0,,3.0,3.0,3.0,4.0,4.0,5.0,,5.0,4.0,4.0,3.0
SV043,1,1,4,3,3,4.0,4.0,3.0,4.0,4.0,5.0,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,,5.0,4.0,3.0,4.0
SV044,1,2,2,2,1,4.0,4.0,3.0,3.0,,2.0,,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0
SV045,1,2,1,1,1,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,2.0,,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0
SV046,2,3,2,2,1,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,5.0,,4.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0
SV047,2,2,2,1,3,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0
SV048,1,2,1,2,1,3.0,3.0,4.0,4.0,3.0,5.0,4.0,,2.0,2.0,3.0,2.0,,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0
SV049,2,4,1,3,2,5.0,4.0,3.0,3.0,4.0,2.0,,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0
SV050,1,2,4,2,3,3.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0
SV051,2,1,5,2,1,4.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,,3.0,3.0,5.0,2.0,2.0,5.0,3.0,2.0,4.0,,2.0
SV052,1,4,3,1,2,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,5.0,3.0
SV053,2,2,4,2,2,4.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,,4.0,5.0,4.0,3.0,4.0,3.0,3.0
SV054,1,1,5,3,2,4.0,3.0,4.0,,3.0,3.0,4.0,5.0,4.0,4.0,5.0,,3.0,4.0,,4.0,,5.0,5.0,,5.0,5.0,3.0,4.0,3.0
SV055,2,2,5,2,1,2.0,4.0,,2.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,,4.0,2.0,3.0,5.0,4.0,3.0,4.0,2.0,2.0
SV056,1,1,1,2,1,4.0,5.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,2.0,2.0
SV057,2,1,5,2,1,3.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0
SV058,1,3,1,1,2,5.0,5.0,3.0,4.0,,,5.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0
SV059,2,1,1,1,2,3.0,1.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0
SV060,2,3,3,1,1,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,1.0,3.0,,5.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,2.0,4.0
SV061,2,4,4,2,1,3.0,3.0,2.0,3.0,2.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,,3.0,3.0,1.0,3.0
SV062,2,3,1,3,3,5.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,,4.0,3.0,4.0,3.0,,5.0,4.0,3.0,3.0,3.0
SV063,2,3,2,2,1,5.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,,4.0,4.0,3.0,5.0,,2.0,1.0
SV064,1,3,2,1,1,5.0,4.0,,5.0,4.0,4.0,4.0,3.0,3.0,,,2.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0
SV065,1,4,2,1,2,3.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0
SV066,1,2,5,1,1,5.0,5.0,4.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0
SV067,1,1,2,3,1,3.0,4.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,,3.0
SV068,2,2,2,2,1,4.0,4.0,2.0,,3.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,,3.0,4.0
SV069,2,2,1,3,1,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,5.0,4.0,5.0,5.0,5.0,5.0,,5.0
SV070,2,1,1,3,2,3.0,4.0,3.0,,5.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,,3.0,5.0,3.0,2.0,5.0,3.0,,2.0,3.0,2.0,2.0
SV071,2,3,1,1,2,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,,5.0,,,,3.0,,5.0,3.0,5.0,4.0,3.0,4.0
SV072,2,1,3,2,2,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,,4.0,,4.0,5.0,4.0,5.0,5.0,4.0,4.0,,3.0,4.0,3.0,4.0
SV073,2,4,3,3,1,4.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,2.0,3.0
SV074,2,1,3,2,2,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,,3.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,2.0,2.0
SV075,1,1,5,1,1,3.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,,4.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0
SV076,2,1,3,3,2,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,1.0,2.0,2.0
SV077,2,1,1,3,1,,5.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0
SV078,1,1,2,2,2,4.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,,5.0,5.0,4.0,2.0,4.0,5.0,5.0,,4.0,5.0,5.0,3.0,
SV079,1,1,2,2,1,5.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,1.0
SV080,2,1,5,1,1,4.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,,4.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0
SV081,2,1,2,3,1,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0
SV082,2,2,1,2,1,,3.0,2.0,4.0,2.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,
SV083,2,2,4,1,1,2.0,2.0,,2.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,,3.0,3.0,2.0,3.0
SV084,1,2,3,2,2,5.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,,,3.0,3.0,3.0,,,4.0,2.0,1.0,3.0,4.0,1.0
SV085,1,2,1,3,2,3.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,,3.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,,3.0
SV086,2,1,4,3,1,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0
SV087,2,1,2,1,3,5.0,3.0,4.0,,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,,4.0,3.0,1.0,1.0,2.0,1.0,
SV088,2,1,5,1,2,5.0,5.0,,3.0,4.0,5.0,4.0,,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
SV089,2,3,5,3,3,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0
SV090,1,4,2,3,2,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,,4.0,5.0,3.0,4.0,4.0,5.0,,3.0,3.0
SV091,2,4,3,2,2,4.0,4.0,4.0,4.0,5.0,,4.0,,2.0,2.0,2.0,4.0,3.0,5.0,4.0,,5.0,,3.0,3.0,2.0,3.0,2.0,2.0,2.0
SV092,1,2,3,2,2,4.0,3.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,,4.0,5.0,4.0,4.0,2.0,2.0,3.0
SV093,1,2,4,2,2,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,,5.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
SV094,1,2,1,2,3,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,3.0,,2.0,5.0,2.0,,1.0,3.0,2.0,2.0
SV095,1,3,2,1,1,3.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,1.0
SV096,2,3,1,1,1,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0
SV097,1,4,4,1,1,2.0,3.0,3.0,3.0,,5.0,4.0,2.0,4.0,,5.0,2.0,3.0,,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0
SV098,1,4,1,3,3,4.0,3.0,4.0,,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,3.0,3.0,3.0
SV099,2,2,3,1,1,4.0,3.0,,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0
SV100,2,3,4,1,2,1.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,2.0,,2.0,3.0,5.0,,5.0,4.0,4.0,5.0,3.0,4.0,4.0,1.0,3.0,4.0
SV101,1,3,5,2,2,2.0,5.0,2.0,4.0,3.0,5.0,3.0,,2.0,2.0,,4.0,4.0,,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0
SV102,1,2,2,1,3,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,,3.0,3.0,2.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0
SV103,1,4,1,1,1,4.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,,4.0,3.0,4.0,5.0,,5.0,5.0,4.0,5.0,5.0,4.0,2.0
SV104,2,1,4,2,2,,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,,4.0,3.0,1.0,2.0,2.0,2.0
SV105,1,4,1,2,3,3.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,3.0,2.0,2.0
SV106,1,3,1,2,1,5.0,,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,,5.0
SV107,1,1,5,3,2,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0
SV108,2,3,5,1,1,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,,3.0,4.0,,4.0,4.0,4.0,3.0,5.0,,2.0
SV109,1,1,4,3,2,4.0,4.0,2.0,5.0,,2.0,4.0,4.0,,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0
SV110,2,3,5,3,2,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,,5.0,3.0,2.0
SV111,1,3,1,3,1,4.0,3.0,5.0,,5.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,4.0,3.0,,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0
SV112,2,3,1,2,1,3.0,3.0,,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,,4.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0
SV113,1,4,2,2,1,4.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,,3.0,3.0,3.0,4.0,3.0,2.0,,2.0,3.0
SV114,1,1,1,2,1,2.0,,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0
SV115,1,1,5,2,2,5.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,4.0,4.0,2.0,3.0,4.0
SV116,2,2,1,1,1,3.0,2.0,4.0,5.0,,5.0,5.0,5.0,4.0,,3.0,2.0,1.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,2.0
SV117,2,1,3,3,1,5.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,4.0,,5.0
SV118,1,2,5,2,2,4.0,,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0
SV119,1,1,4,3,2,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0
SV120,2,2,2,2,2,3.0,3.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0
SV121,2,2,3,1,3,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,,2.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0
SV122,1,4,3,2,1,,4.0,,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,,4.0,2.0,4.0,,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,
SV123,1,1,4,2,2,3.0,3.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0
SV124,2,4,3,2,1,4.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,
SV125,2,2,2,1,2,4.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,,3.0,4.0,4.0,3.0,,2.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0
